VDIODO,IDIODO
4.24,0.01754717
4.24,0.01754717
4.14,0.017358491
4.12,0.017358491
4.08,0.017358491
4.08,0.017358491
4.04,0.017358491
4.04,0.017358491
4.02,0.017358491
4.02,0.017358491
4.02,0.017358491
4.02,0.017169811
3.96,0.017169811
3.96,0.017169811
3.94,0.017169811
3.92,0.017169811
3.92,0.017169811
3.92,0.017169811
3.92,0.017169811
3.9,0.016981132
3.9,0.016981132
3.84,0.016981132
3.84,0.016981132
3.84,0.016981132
3.8,0.016981132
3.8,0.016981132
3.8,0.016981132
3.8,0.016981132
3.76,0.016981132
3.76,0.016981132
3.74,0.016981132
3.72,0.016981132
3.68,0.016792453
3.68,0.016792453
3.68,0.016792453
3.68,0.016792453
3.66,0.016792453
3.62,0.016792453
3.62,0.016792453
3.6,0.016603774
3.6,0.016603774
3.58,0.016603774
3.56,0.016603774
3.54,0.016603774
3.52,0.016603774
3.5,0.016603774
3.5,0.016603774
3.48,0.016603774
3.48,0.016603774
3.46,0.016603774
3.46,0.016603774
3.44,0.016603774
3.44,0.016603774
3.4,0.016603774
3.38,0.016603774
3.36,0.016603774
3.36,0.016603774
3.36,0.016603774
3.32,0.016603774
3.32,0.016603774
3.28,0.016603774
3.28,0.016415094
3.26,0.016415094
3.24,0.016415094
3.24,0.016415094
3.24,0.016415094
3.22,0.016415094
3.22,0.016415094
3.22,0.016415094
3.18,0.016415094
3.18,0.016415094
3.16,0.016415094
3.16,0.016415094
3.12,0.016415094
3.1,0.016415094
3.1,0.016415094
3.08,0.016415094
3.06,0.016415094
3.04,0.016226415
3.04,0.016226415
3.02,0.016226415
3.02,0.016226415
3,0.016226415
3,0.016226415
3,0.016226415
2.96,0.016226415
2.96,0.016226415
2.94,0.016226415
2.92,0.016226415
2.9,0.016226415
2.88,0.016226415
2.86,0.016226415
2.84,0.016226415
2.84,0.016226415
2.82,0.016226415
2.8,0.016226415
2.8,0.016226415
2.78,0.016226415
2.74,0.016226415
2.72,0.016226415
2.72,0.016226415
2.7,0.016226415
2.7,0.016226415
2.68,0.016226415
2.66,0.016037736
2.64,0.016037736
2.64,0.016037736
2.64,0.016037736
2.6,0.016037736
2.6,0.016037736
2.6,0.016037736
2.6,0.016037736
2.56,0.016037736
2.54,0.016037736
2.5,0.016037736
2.5,0.016037736
2.48,0.016037736
2.48,0.016037736
2.48,0.015849057
2.44,0.015849057
2.44,0.015849057
2.42,0.015849057
2.4,0.015849057
2.38,0.015849057
2.38,0.015849057
2.38,0.015849057
2.38,0.015849057
2.36,0.015849057
2.34,0.015849057
2.32,0.015849057
2.28,0.015849057
2.28,0.015849057
2.28,0.015849057
2.24,0.015849057
2.22,0.015849057
2.22,0.015849057
2.22,0.015849057
2.2,0.015849057
2.18,0.015849057
2.18,0.015849057
2.14,0.015849057
2.12,0.015849057
2.12,0.015849057
2.08,0.015849057
2.08,0.015849057
2.06,0.015849057
2.04,0.015849057
2.04,0.015849057
2.04,0.015849057
2.02,0.015849057
2,0.015849057
2,0.015849057
1.96,0.015849057
1.92,0.015849057
1.92,0.015849057
1.92,0.015849057
1.9,0.015849057
1.9,0.015660377
1.9,0.015660377
1.88,0.015660377
1.84,0.015660377
1.8,0.015660377
1.8,0.015660377
1.8,0.015660377
1.8,0.015660377
1.76,0.015660377
1.76,0.015660377
1.74,0.015660377
1.74,0.015660377
1.74,0.015660377
1.7,0.015660377
1.7,0.015660377
1.68,0.015660377
1.68,0.015660377
1.62,0.015660377
1.58,0.015660377
1.58,0.015660377
1.58,0.015660377
1.58,0.015660377
1.56,0.015660377
1.56,0.015660377
1.54,0.015660377
1.54,0.015660377
1.48,0.015660377
1.48,0.015660377
1.46,0.015471698
1.44,0.015471698
1.44,0.015471698
1.4,0.015471698
1.4,0.015471698
1.4,0.015471698
1.4,0.015471698
1.38,0.015471698
1.34,0.015471698
1.34,0.015471698
1.34,0.015471698
1.3,0.015471698
1.3,0.015471698
1.28,0.015471698
1.28,0.015471698
1.26,0.015471698
1.24,0.015471698
1.24,0.015471698
1.22,0.015471698
1.18,0.015471698
1.16,0.015283019
1.16,0.015283019
1.14,0.015283019
1.14,0.015283019
1.12,0.015283019
1.1,0.015283019
1.06,0.015283019
1.04,0.015283019
1.04,0.015283019
1.04,0.015283019
1,0.01509434
1,0.01509434
1,0.01509434
0.98,0.01509434
0.96,0.01509434
0.96,0.01509434
0.94,0.01509434
0.9,0.01509434
0.88,0.01509434
0.88,0.01509434
0.88,0.01509434
0.88,0.01509434
0.84,0.01509434
0.8,0.01509434
0.8,0.01509434
0.78,0.01509434
0.78,0.01509434
0.76,0.01509434
0.76,0.01509434
0.76,0.01509434
0.76,0.01509434
0.7,0.01509434
0.68,0.01509434
0.68,0.01509434
0.66,0.01509434
0.66,0.01509434
0.66,0.01509434
0.64,0.01509434
0.64,0.01509434
0.6,0.01490566
0.6,0.01490566
0.6,0.01490566
0.56,0.01490566
0.56,0.01490566
0.56,0.01490566
0.54,0.01490566
0.54,0.01490566
0.48,0.01490566
0.48,0.01490566
0.46,0.01490566
0.44,0.01490566
0.44,0.01490566
0.44,0.01490566
0.4,0.01490566
0.4,0.01490566
0.38,0.014716981
0.38,0.014716981
0.36,0.014716981
0.36,0.014716981
0.36,0.014716981
0.34,0.014716981
0.28,0.014716981
0.26,0.014716981
0.26,0.014716981
0.24,0.014716981
0.22,0.014716981
0.22,0.014716981
0.22,0.014716981
0.2,0.014716981
0.16,0.014716981
0.16,0.014716981
0.16,0.014716981
0.14,0.014716981
0.14,0.014716981
0.12,0.014716981
0.12,0.014528302
0.12,0.014528302
0.12,0.014528302
0.12,0.014528302
0.08,0.014528302
0.08,0.014339623
0.08,0.014339623
0.08,0.014339623
0.08,0.014339623
0.08,0.014339623
0.06,0.014150943
0.06,0.014150943
0.04,0.014150943
0.04,0.014150943
0.02,0.013962264
0.02,0.013962264
0,0.013962264
0,0.013773585
0,0.013584906
0,0.013584906
0,0.013584906
-0.02,0.013584906
-0.02,0.013584906
-0.02,0.013584906
-0.04,0.013396226
-0.04,0.013396226
-0.04,0.013207547
-0.04,0.013207547
-0.04,0.013207547
-0.04,0.013018868
-0.04,0.012830189
-0.06,0.012830189
-0.06,0.012830189
-0.06,0.012830189
-0.08,0.012641509
-0.08,0.012641509
-0.08,0.01245283
-0.08,0.01245283
-0.08,0.01245283
-0.08,0.012264151
-0.08,0.012075472
-0.08,0.012075472
-0.08,0.012075472
-0.1,0.012075472
-0.1,0.011886792
-0.1,0.011886792
-0.1,0.011886792
-0.12,0.011886792
-0.12,0.011698113
-0.12,0.011509434
-0.12,0.011320755
-0.12,0.011320755
-0.12,0.011320755
-0.12,0.011320755
-0.12,0.011132075
-0.12,0.011132075
-0.12,0.010943396
-0.14,0.010943396
-0.14,0.010754717
-0.14,0.010754717
-0.14,0.010566038
-0.14,0.010566038
-0.14,0.010566038
-0.16,0.010377358
-0.16,0.010377358
-0.16,0.010188679
-0.16,0.010188679
-0.16,0.010188679
-0.16,0.01
-0.18,0.01
-0.18,0.009811321
-0.18,0.009811321
-0.18,0.009622642
-0.18,0.009622642
-0.2,0.009622642
-0.2,0.009622642
-0.2,0.009433962
-0.2,0.009433962
-0.2,0.009245283
-0.22,0.009056604
-0.22,0.009056604
-0.22,0.009056604
-0.22,0.008867925
-0.22,0.008867925
-0.22,0.008867925
-0.22,0.008679245
-0.22,0.008490566
-0.22,0.008490566
-0.22,0.008301887
-0.22,0.008301887
-0.22,0.008301887
-0.22,0.008113208
-0.22,0.008113208
-0.22,0.008113208
-0.22,0.008113208
-0.24,0.007924528
-0.24,0.007924528
-0.24,0.007924528
-0.24,0.007924528
-0.24,0.007735849
-0.24,0.007735849
-0.24,0.007735849
-0.24,0.007358491
-0.24,0.007358491
-0.24,0.007358491
-0.24,0.007358491
-0.24,0.007169811
-0.24,0.007169811
-0.24,0.007169811
-0.24,0.006981132
-0.26,0.006981132
-0.26,0.006981132
-0.26,0.006981132
-0.26,0.006792453
-0.26,0.006792453
-0.26,0.006792453
-0.26,0.006603774
-0.26,0.006603774
-0.26,0.006603774
-0.26,0.006415094
-0.26,0.006415094
-0.26,0.006415094
-0.26,0.006415094
-0.28,0.006226415
-0.28,0.006226415
-0.28,0.006226415
-0.28,0.006226415
-0.28,0.006037736
-0.28,0.006037736
-0.28,0.006037736
-0.28,0.005849057
-0.28,0.005849057
-0.28,0.005849057
-0.28,0.005849057
-0.3,0.005660377
-0.3,0.005660377
-0.3,0.005660377
-0.3,0.005660377
-0.3,0.005471698
-0.3,0.005471698
-0.3,0.005471698
-0.3,0.005471698
-0.3,0.005283019
-0.3,0.00509434
-0.3,0.00509434
-0.3,0.00509434
-0.3,0.00490566
-0.3,0.00490566
-0.3,0.00490566
-0.3,0.00490566
-0.3,0.00490566
-0.32,0.004716981
-0.32,0.004716981
-0.32,0.004716981
-0.32,0.004716981
-0.32,0.004716981
-0.34,0.004528302
-0.34,0.004339623
-0.34,0.004339623
-0.34,0.004339623
-0.34,0.004339623
-0.34,0.004339623
-0.34,0.004150943
-0.34,0.004150943
-0.34,0.003962264
